 Net Income to Total Assets, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, ROA(C) before interest and depreciation before interest, Net worth/Assets, Debt ratio %, Persistent EPS in the Last Four Seasons, Retained Earnings to Total Assets, Net profit before tax/Paid-in capital, Per Share Net profit before tax (Yuan ¥),Bankrupt?
0.716845343217827,0.424389446140427,0.40574977247176,0.370594257300249,0.792423738549445,0.207576261450555,0.16914058806845,0.903224771166726,0.137757333534424,0.138736160277171,1
0.795297136043035,0.53821412996075,0.516730017666899,0.464290937454297,0.828823653898479,0.171176346101521,0.2089439349532,0.931065217577487,0.168961616770983,0.16991790314077,1
0.774669696989803,0.499018752725687,0.472295090743616,0.426071271876371,0.792484203525108,0.207515796474892,0.180580504869056,0.90990336247412,0.148035593092527,0.142803344128945,1
0.739554525158061,0.451264718709115,0.457733283366347,0.399844001364988,0.848535235964567,0.151464764035432,0.193722227474709,0.906902158837211,0.147560515798205,0.148602847028696,1
0.79501587263578,0.538432184910597,0.522297767546443,0.465022181055916,0.893490945369894,0.106509054630105,0.212536636097192,0.91385019745186,0.167460975793681,0.168411538751224,1
0.710420495100948,0.415176624509376,0.419133786605279,0.388680349046946,0.819572512622064,0.180427487377936,0.174435095017491,0.903041267113845,0.137825201719327,0.138811478496648,1
0.736619097683939,0.445704317488007,0.436158252583115,0.390922829425243,0.783898176980984,0.216101823019016,0.161482461945731,0.911441407767521,0.127939069451776,0.128944791745123,0
0.815350392476567,0.570922372437854,0.559077038385353,0.508360551845171,0.891797926051335,0.108202073948665,0.22520563486811,0.935449309245632,0.179518889978131,0.180462453867591,0
0.803647289792132,0.545137374618404,0.5432839017078,0.48851947545459,0.941409438582701,0.058590561417299,0.218398411647915,0.935200209287994,0.172158962370862,0.173156586578293,0
0.804194656500343,0.550915830789359,0.542962685368596,0.495685662750451,0.878707258820328,0.121292741179672,0.217831143046232,0.938289896761562,0.175657944348088,0.176621224674249,0
0.814110614307489,0.56754252071522,0.538197976337063,0.482474528347877,0.896423496689543,0.103576503310457,0.218965680249598,0.942828956208544,0.177611039891411,0.178579498380658,0
0.804886952966321,0.549716528565198,0.498956046897585,0.444401111490274,0.905614172990295,0.0943858270097046,0.204689420440579,0.93295521516369,0.171525525978433,0.172478722602998,0
